"","x"
"6001",9.72001945097986
"6002",11.0219575327967
"6003",8.06632286908665
"6004",10.151360545486
"6005",9.53632300917569
"6006",8.91582249585992
"6007",8.8620537317956
"6008",9.3099225736019
"6009",8.29499383000684
"6010",10.6457962365272
"6011",9.79102196501598
"6012",8.82720941477002
"6013",9.40250409389604
"6014",9.44917676788484
"6015",8.79761372433505
"6016",8.91582249585992
"6017",9.24492333239279
"6018",9.91679079321749
"6019",9.0337014449319
"6020",8.90775189755681
"6021",9.43328416573364
"6022",8.63070588848094
"6023",8.58053751601426
"6024",8.28442800375377
"6025",8.42090506208542
"6026",8.62707367792692
"6027",8.78655114681848
"6028",8.55824285247895
"6029",9.28177673325838
"6030",8.58053751601426
"6031",10.0752856615369
"6032",9.2405310964644
"6033",8.96726064190355
"6034",9.92995399432956
"6035",8.67889846573977
"6036",8.3066899948837
"6037",8.4513583684622
"6038",8.66739672635479
"6039",9.98783032245409
"6040",9.28569152699765
"6041",8.1113157885561
"6042",8.671410429829
"6043",8.81567831907155
"6044",9.04757309789703
"6045",8.90775189755681
"6046",8.93375695821734
"6047",9.24828624619217
"6048",8.50952735867455
"6049",8.42517544327588
"6050",8.81567831907155
"6051",8.51064959906132
"6052",9.22225388834801
"6053",8.26946349049256
"6054",9.59901099585668
"6055",8.3948928556271
"6056",8.31760507519134
"6057",8.46723691578948
"6058",8.68869821107588
"6059",9.91729003095764
"6060",8.60957302646096
"6061",8.35695293623403
"6062",8.40679652110359
"6063",8.69906442427428
"6064",9.11225294713852
"6065",8.97981690907521
"6066",8.59095867234078
"6067",9.85452716682508
"6068",8.06632286908665
"6069",9.91679079321749
"6070",10.2283033477546
"6071",8.13364532766849
"6072",8.31760507519134
"6073",10.2533993650565
"6074",10.1751146429956
"6075",10.1846970625788
"6076",8.55309730748061
"6077",8.11881205626127
"6078",10.3121803711666
"6079",9.25636404703609
"6080",9.76185556830918
"6081",8.54571481888434
"6082",9.85452716682508
"6083",8.11881205626127
"6084",8.56510988231917
"6085",10.1806652077061
"6086",8.87813812726028
"6087",8.90775189755681
"6088",8.74741859962472
"6089",8.59346750786056
"6090",8.85827529727038
"6091",10.2876655045023
"6092",9.05692051495431
"6093",9.38944768862642
"6094",9.14143401527362
"6095",9.91892300059408
"6096",8.81449924194607
"6097",9.23130672631494
"6098",10.0382404362962
"6099",10.0262213777408
"6100",8.97081834879958
"6101",10.5029930470895
"6102",9.34197943908934
"6103",8.39788529860975
"6104",9.57411712274878
"6105",8.59186407571761
"6106",9.44337001303303
"6107",8.10005868957
"6108",9.26732255674022
"6109",8.66838606807534
"6110",10.2969835903009
"6111",9.62010005252041
"6112",8.85827529727038
"6113",9.20979883657053
"6114",9.17796251232538
"6115",9.46427609948871
"6116",8.10005868957
"6117",8.6325651992823
"6118",9.84156024292392
"6119",8.13116734447965
"6120",9.88429224623694
"6121",8.81567831907155
"6122",9.22225388834801
"6123",9.34197943908934
"6124",9.28116265194647
"6125",9.91892300059408
"6126",9.95456180236403
"6127",9.72001945097986
"6128",9.61091462888299
"6129",9.69636806470734
"6130",8.67027120645511
"6131",9.69210077770512
"6132",8.71862496530591
"6133",10.3863138462321
"6134",8.81951947449769
"6135",8.61191737988445
"6136",8.86633690169582
"6137",9.24846031152394
"6138",8.40089164003242
"6139",10.2163397383451
"6140",8.6325651992823
"6141",9.68838338428267
"6142",8.63096493549634
"6143",8.42517544327588
"6144",9.95414714437192
"6145",9.82510253444328
"6146",10.3165738391737
"6147",8.58283873882866
"6148",8.47650642914773
"6149",8.06161016713454
"6150",8.32259420061046
"6151",9.20302171294941
"6152",8.06161016713454
"6153",8.56510988231917
"6154",10.2876655045023
"6155",9.69636806470734
"6156",8.86150302790343
"6157",10.3522460337406
"6158",9.17932482144737
"6159",10.1751146429956
"6160",8.35461507065106
"6161",9.1854985166363
"6162",10.2719984763878
"6163",8.42960654800675
"6164",8.18900458384519
"6165",8.58283873882866
"6166",10.5634736995458
"6167",9.24828624619217
"6168",8.75078419609572
"6169",9.06217306205876
"6170",8.71800561246184
"6171",8.97081834879958
"6172",9.31091769737927
"6173",7.95722342380238
"6174",8.40679652110359
"6175",8.15740769556704
"6176",8.77310182668921
"6177",8.54571481888434
"6178",9.59901099585668
"6179",8.90396526934819
"6180",8.73653636868793
"6181",8.11881205626127
"6182",9.65204395218062
"6183",9.00792904903408
"6184",10.5029930470895
"6185",10.0752856615369
"6186",8.42163048707572
"6187",8.90775189755681
"6188",10.2969835903009
"6189",8.06632286908665
"6190",9.95587210783073
"6191",9.03499872639848
"6192",9.07269815657278
"6193",8.71201752156181
"6194",9.28177673325838
"6195",8.66354940492988
"6196",8.17304903718077
"6197",8.80588639129511
"6198",8.640581887562
"6199",8.58053751601426
"6200",9.85452716682508
"6201",8.45586591343524
"6202",10.2969835903009
"6203",8.75632481331724
"6204",8.57490540758199
"6205",8.79761372433505
"6206",8.00763333758172
"6207",9.19637874862773
"6208",10.1522635988244
"6209",9.07716353667679
"6210",8.46661114260128
"6211",9.19493448929259
"6212",8.11881205626127
"6213",8.35299385255993
"6214",8.28492935475155
"6215",9.36960268209748
"6216",11.0219575327967
"6217",8.78427044472643
"6218",8.956525555737
"6219",8.66739672635479
"6220",8.78644870265159
"6221",8.58053751601426
"6222",8.97993544325494
"6223",10.2883258456524
"6224",8.89346189965718
"6225",9.82775285781181
"6226",8.88070239684068
"6227",7.95147146009537
"6228",8.80588639129511
"6229",10.1806652077061
"6230",8.63070588848094
"6231",10.0591351105461
"6232",8.97597316347345
"6233",8.69653609861496
"6234",8.21728908942957
"6235",9.46820472755176
"6236",8.96726064190355
"6237",10.1558570446131
"6238",8.83119086735201
"6239",8.32259420061046
"6240",9.40250409389604
"6241",9.37809724493769
"6242",8.74741859962472
"6243",8.23875972167654
"6244",8.81567831907155
"6245",8.6325651992823
"6246",10.4494722501623
"6247",9.17932482144737
"6248",8.18962392413757
"6249",10.1846970625788
"6250",9.20979883657053
"6251",9.10617494584696
"6252",8.67009612274794
"6253",8.55064666119773
"6254",8.21854296092601
"6255",9.22225388834801
"6256",9.0337014449319
